participant_id,ID,healthy1,healthy2,healthy3,unhealthy,know_1,coresim_1,trust_1,caring_1,invest_1,satisfaction_1,alternatives_1,mutuality_1,interdependence_1,commitment_1,understanding_1,validation_1,selfact_1,physicalneeds_1,selfreg_1,sepIDs_1,physicalattraction_1,emotionalattraction_2,security_1,db_db1,db_db2,db_db3,db_db4,db_db5,db_db6,db_db7,db_db8,db_db9,db_db10,db_db11,db_db12,db_db13,db_db14,db_db15,db_db16,db_db17,db_db18,V43,db_db19,db_db20,db_db21,db_db22,ECR_ecr1,ECR_ecr2,ECR_ecr3,ECR_ecr4,ECR_ecr5,ECR_ecr6,ECR_ecr7,V55,ECR_ecr8,ECR_ecr9,SIS_SIS1,SIS_SIS2,SIS_SIS3,SIS_SIS4,race,sex,gender,orient,status,status_6_TEXT,length,exclusive,Live,Q40,V73,Q55_1,db_db_23,ECR_ECR_11,age,completed_date_time,CountryofBirth,CurrentCountryofResidence,EmploymentStatus,FirstLanguage,Nationality,StudentStatus,time_taken,SIS,ECR1,ECR2,ECR3,ECR4,ECR5,ECR6,ECR7,ECR8,ECR9,InsecureTotalMean,AvoidTotalMean,AnxiousTotalMean,AvoidxAnxious
559ad287fdf99b219a612d22,385,"Where two people respect each other at the same time, no matter if they agree or disagree with one another.",There would be an absence of stress while people in the relationship are with each other. One member of the relationship would not be domineering over the other. There would be a lack of arguments over stupid petty things.  And one person would not be texting or calling every 10 minutes to see what the other was doing.,"The ability to completely trust another person would one's thoughts, feelings, and actions and having that trust reciprocated. Knowing that even if there is an argument, both parties know to back down before certain lines are crossed, and both parties know what those lines are.   If there are boundries that are close to being crossed, that the offending party knows to back away and cool off (and that the other party knows to give them space). And after such an issue, that both parties are sanely discuss their feelings and figure out why the issue actually became an issue.","Constant messages from another party (text messages, or phone calls. ); this would show some trust issues in a relationship. Badgering.  Signs of physical abuse. One person in the relationship obviously trying to avoid the other.  Passive aggressiveness.",50,16,50,50,11,31,-21,30,21,23,42,44,44,50,44,50,20,40,50,3,5,5,6,4,6,5,6,7,5,5,4,3,3,2,5,4,3,NA,1,4,4,6,5,5,7,3,5,2,1,NA,1,1,2,1,2,3,white hispanic,1,male,bisexual,1,,NA,NA,NA,,NA,27,2,6,39,23:41:13,United States,United States,Part-Time,English,United States,No,990.46,2,3,3,1,5,5,2,1,1,1,2.4444444444444446,3.1666666666666665,1,3.1666666666666665
55a15444fdf99b04310c8c85,61,One that was honest and able to have different opinions but respected the difference. Loving and caring and trusting.,If we were both happy and felt comfortable and safe,"Trust
Kindness
Generosity 
Happiness 
Contented
Thoughts of a future together 
",There would be a lot of mistrust and anxiety. Anger and hurtful words. Sadness,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,49,50,50,6,6,4,3,5,4,3,5,5,4,3,6,3,6,2,6,2,6,NA,7,5,2,7,7,7,7,7,1,1,4,NA,4,6,3,4,3,3,Caucasian,2,Female,Straight,1,,NA,NA,NA,,NA,NA,NA,NA,30,22:12:05,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Yes,1061.119,3.25,1,1,1,1,1,1,4,4,6,2.2222222222222223,1,4.666666666666667,4.666666666666667
55ab85e0fdf99b2dced04264,362,Mutual respect for each other.,Minimal arguments and mutual respect,"Actively listening to each other.
Thinking about each others needs.
Reaching for the same goals.",Lack of respect or selfishness,44,35,47,41,32,42,37,39,40,36,41,45,37,34,26,13,40,41,45,4,5,5,6,6,6,3,6,5,5,4,5,4,5,3,4,3,3,NA,4,5,3,5,7,7,7,6,1,1,1,NA,1,1,2,2,2,3,White British,1,Male,Heterosexual,5,,144,1,1,,NA,27,2,6,45,23:31:18,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,No,1122.466,2.25,1,1,1,2,1,1,1,1,1,1.1111111111111112,1.1666666666666667,1,1.1666666666666667
55b1c05ffdf99b68190ce691,16,"I'd define a healthy relationship as one where both people devote the same amount of time and effort in maintaining it, and one where both people respect and appreciate the other.","I would think a relationship is healthy if we both appear happy, if we both want to be around each other, and the power dynamic is reasonably similar","People in a healthy relationship feel satisfied, content and secure. Their behavior might be upbeat, relaxed, or open. They'd be comfortable about sharing their opinions, problems, and thoughts with the other person.","If one or both person is too controlling, if a person looks to be on guard, or stressed or unhappy then it might not be healthy.",50,21,50,41,50,50,50,30,25,40,40,50,50,35,44,20,25,50,50,1,5,4,6,1,5,2,5,3,4,2,4,3,4,1,5,2,4,NA,3,4,3,7,6,5,5,5,2,3,1,NA,1,1,3,2,3,2,white,1,male,straight,3,,36,1,2,nothing was unclear.,NA,NA,NA,NA,31,21:37:50,United States,United States,Full-Time,English,United States,No,792.533,2.5,2,3,3,3,2,3,1,1,1,2.111111111111111,2.6666666666666665,1,2.6666666666666665
55eb04337480920010aa9e0d,174,A healthy relationship is one where each person in the relationship is generally healthy overall and is able to function well within the relationship itself. It means not having tendencies that are abusive in the relationship and treating the other person well. It also means not being fully dependent on the other person in the relationship and having a life outside of the relationship as well.,A healthy relationship is indicated by those in it feeling supported in the relationship to a healthy degree and free of things that seem unhealthy. It usually means the person is doing well and not having problems due to being in the relationship.,A healthy relationship includes time that is spent with the other person as well as spending a healthy amount of time alone. It means meeting your own needs while also being supportive and using good communication. It also means the ability to resolve conflicts or disagreements in a healthy way.,If there is too much fighting or conflict the relationship would not seem as healthy. If one or both people in the relationship feel abused or neglected it is not a healthy relationship. If too much time is spent with the other in a codependent way it is also not a healthy relationship.,24,38,47,44,34,44,45,-20,30,36,47,40,46,46,45,42,35,46,39,2,3,5,4,3,2,6,5,4,5,2,4,5,1,2,5,4,6,NA,4,2,5,7,6,7,7,6,2,1,1,NA,1,2,2,2,2,2,White,1,Male,Heterosexual,3,,60,1,1,No problems.,NA,27,2,6,33,22:52:44,United States,United States,Other,English,United States,No,826.686,2,2,1,1,2,2,1,1,1,2,1.4444444444444444,1.5,1.3333333333333333,2
55eed3899df9fe0005fae24f,258,"Where both people in the relationship feel and are safe, happy, accepted.","They or I were happy, treated with respect, not controlled by their partner, spoke about their relationship in a positive way.","Being considerate, being respectful, being friends, having a good physical relationship, accepting each other, making each other happy, each doing your fair share of emotional labour, household chores, etc.,","I would feel sad, controlled, dis-respected, not listened to, scared, hurt.",50,40,50,40,50,50,40,35,30,50,50,45,25,25,45,40,45,50,50,4,4,5,5,3,5,3,6,3,5,2,4,3,1,1,6,2,4,NA,2,4,2,5,7,7,7,7,1,1,2,NA,1,5,4,5,3,3,white,2,female,straight,5,,60,1,1,,NA,27,2,6,34,23:10:40,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,No,697.401,3.75,1,1,1,1,1,1,2,1,5,1.5555555555555556,1,2.6666666666666665,2.6666666666666665
5601464e77f33b0012cb4130,38,Mutual love & respect for each other,If they were being kind and respectful to each other,"Having respect for the person, acts of kindness, feelings of positivity and love, happiness together, saying nice things about them when they're not there.","If they were being disrespectful to each other, or being rude or saying negative things about the relationship when the other person wasn't present",46,20,50,49,45,46,37,12,27,42,44,46,45,5,31,48,17,45,48,2,7,4,5,4,5,2,6,5,4,3,5,4,2,3,7,4,2,NA,4,2,5,7,7,7,7,6,1,1,1,NA,1,2,4,4,4,4,British,2,F,N/A,4,,36,1,2,,NA,NA,NA,NA,27,21:48:29,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,No,737.404,4,1,1,1,2,1,1,1,1,2,1.2222222222222223,1.1666666666666667,1.3333333333333333,1.5555555555555556
5602c4f8e372c00005bd42ff,68,"A relationship that both parties voluntarily remain in, where disagreements and issues are dealt with without a problem and where people can be both individuals and part of a 'team'.",A gut instinct that things weren't quite the way they should be,"discussing rather than arguing
contentment when with the person
no controlling behaviours
feeling respected and supported","jealousy
unreasonable behaviour
abusive behaviour
being unable to be your own person
feeling unsafe",50,24,50,0,29,50,21,-21,0,50,50,50,50,21,35,50,15,15,50,5,5,5,7,5,6,5,7,5,5,5,6,5,1,3,6,5,2,NA,7,2,5,7,6,6,6,6,5,5,2,NA,1,1,4,4,2,1,White,2,Female,Heterosexual,1,,NA,NA,NA,No,NA,NA,NA,NA,24,22:14:49,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,No,552.791,2.75,2,2,2,2,5,5,2,1,1,2.4444444444444446,3,1.3333333333333333,4
5607344cd7def20005b7331c,36,"Honest, trust and faithful. Being able to openly talk to each other about anything.",General day to day behaviour is being able to talk to each other and enjoy each others company.,You feel happy and comfortable to be around that person. You know you have a person you can always rely on no matter what.,You would argue on a daily basis and not want to be around that person.,50,31,50,41,43,50,50,50,39,35,33,41,37,30,28,50,35,38,50,3,5,4,6,5,6,5,6,5,5,3,5,3,3,3,7,3,5,NA,4,5,3,7,7,7,7,7,1,2,2,NA,1,1,4,4,3,4,White British,2,Female,Heterosexual,4,,60,1,1,,NA,NA,NA,NA,33,21:47:09,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,No,1022.616,3.75,1,1,1,1,1,2,2,1,1,1.2222222222222223,1.1666666666666667,1.3333333333333333,1.5555555555555556
562a52d2c8ffc2000f5139dd,19,"Both people respect the other and bring different strengths and benefits, not a one sided relationship or one where one person is dependant on the other.","Your own judgement, coupled with asking people close to you for their frank opinion in case you have rose tinted glasses","Mutual respect, considering the other persons feelings as well as your own and not taking the other person for granted","""Red flag"" indicators, feeling weary when dealing with the person, not looking forward to seeing them.",40,15,25,35,45,50,10,-20,0,5,30,40,50,35,10,25,30,40,35,2,5,5,4,2,3,3,4,5,5,2,4,3,3,2,5,3,4,NA,2,5,4,5,5,6,6,4,3,2,3,NA,3,3,2,2,2,3,Irish,1,Male,Heterosexual,3,,76,1,2,No,NA,NA,NA,NA,29,21:38:57,United Kingdom,Ireland,Full-Time,English,Ireland,No,619.009,2.25,3,2,2,4,3,2,3,3,3,2.7777777777777777,2.6666666666666665,3,8
5650f436eb427f0013267da2,137,"A healthy relationship involves a good amount of trust, commitment and shared common interests and experiences.",If I feel that we have a sense of mutual trust and both want and do invest in our relationship,You want the best for your significant other and want to share all your best moments with them. You both feel that you know each other so well that you feel almost connected with them.,Usually there would be arguments or a sense of resentment which wouldbe expressed with indifference or malice.,39,31,49,50,46,29,50,34,35,40,33,37,25,38,32,26,31,32,46,3,5,4,4,3,5,3,6,6,4,3,5,5,5,3,5,3,6,NA,5,5,3,7,5,7,5,7,1,5,1,NA,1,1,1,3,1,1,Black African,1,Male,Heterosexual,1,,NA,NA,NA,,NA,27,2,6,31,22:43:04,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,No,914.284,1.5,3,1,3,1,1,5,1,1,1,1.8888888888888888,2.3333333333333335,1,2.3333333333333335
568b257039a70e000c57ae6f,213,One with good boundaries so where people know where they stand with each other. And honest and open.,You would feel good around that person and trust them.,Trust and forgiveness. Recognising ones own shortcomings. Trying to have a positive impact in relationship. Helping out and supporting other person in relationship.,Build up of negative emotions. Feeling constantly worn out and tired by the relationship. Big imbalance in the relationship in terms of give and take.,10,40,25,35,35,40,40,-30,25,35,30,40,45,35,35,40,40,40,25,3,5,3,4,4,3,4,6,4,5,4,3,3,3,3,5,5,4,NA,5,4,4,5,4,3,3,5,4,5,4,NA,3,2,2,2,2,2,White,1,24,Straight,1,,NA,NA,NA,No,NA,27,2,6,25,23:02:16,United Kingdom,United Kingdom,Unemployed (and job seeking),English,United Kingdom,No,786.523,2,4,5,5,3,4,5,4,3,2,3.888888888888889,4.333333333333333,3,13
56942483e0c800000c5969d0,22,"2 people who are honest with eachother, tell eachother everything, no secrets, and make sure one another is happy.","We are constantly talking about things, not hiding anything, and are always happy to be around one another","When in a healthy relationship, you feel loved and happy when you are around the person you're in a relationship with. Your thoughts are positive and your behavior is positive as well.","Constant bickering and fighting, doing things without one another. Never happy and never wanting to spend time together",50,18,50,50,50,50,50,50,21,50,50,25,34,26,21,11,20,50,36,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,5,NA,1,3,1,7,7,7,7,7,1,1,1,NA,1,1,2,3,2,1,white,1,male,straight,4,,51,1,1,thanks,NA,NA,NA,NA,26,21:40:59,United States,United States,Full-Time,English,United States,No,926.179,2,1,1,1,1,1,1,1,1,1,1,1,1,1
569b481aaf9ad7000d6410a8,336,Each person is happy / satisfied.,One or more of those involved are unhappy / unsatisfied.,You enjoy being with the other person. They enjoy being with you.,"If they are unhappy, defensive and/or secretive.",45,40,45,45,40,50,10,30,30,40,40,45,45,50,45,35,35,45,45,3,5,3,5,3,5,3,5,5,5,3,5,3,5,3,5,3,3,NA,3,5,3,5,5,3,3,3,5,5,5,NA,5,5,2,2,2,2,Caucasian,1,Male,Heterosexual,3,,360,1,1,n/a,NA,27,2,6,55,23:22:11,United States,United States,"Not in paid work (e.g. homemaker, retired or disabled)",English,United States,No,1104.057,2,3,5,5,5,5,5,5,5,5,4.777777777777778,4.666666666666667,5,23.333333333333336
56ae7962322d76000698b000,305,"A relationship where each party is very much in love, committed to each other and their is a mutual trust.",I'm not sure you can ever know 100%. Yes you know if people get on and want to be with each other but you can never tell if they go outside of that relationship to be with other people.,Trust; Love; Desire; Attraction; Humour; sharing interests; respect,Obvious signs ie arguing all the time or worse such as verbal or physical abuse but then there's other things such as cheating which I don't think you can ever be 100% sure of as you tend not to be with your partner all the time.,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,10,50,50,50,1,5,7,1,7,1,7,1,2,1,7,4,6,1,5,7,6,1,NA,7,1,7,1,7,7,7,7,1,1,4,NA,4,7,2,2,2,3,White,1,Male,Gay,1,,NA,NA,NA,,NA,27,2,6,45,23:16:35,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,No,790.083,2.25,1,1,1,1,1,1,4,4,7,2.3333333333333335,1,5,5
56c9bd6310a82f000dffd6af,224,A relationship where both parties involved are happy,Things are harmonious without conflict,The partners respect one another.They are happy in one anothers company.They are attentive and caring.Nothing is a problem,My partner would inform me.I would or they would detect unhappiness.,20,41,50,49,50,48,49,49,30,49,47,29,20,-10,22,1,42,41,49,4,5,4,6,3,3,4,6,6,6,4,7,4,3,3,5,4,2,NA,4,3,5,4,7,7,7,7,1,1,1,NA,1,1,2,2,3,3,White British,1,Male,Hetrosexual,5,,400,1,1,No,NA,27,2,6,56,23:04:07,United Kingdom,United States,"Not in paid work (e.g. homemaker, retired or disabled)",English,United Kingdom,No,779.841,2.5,1,1,1,1,1,1,1,1,1,1,1,1,1
56e00cc1a3b1470005c50a66,270,"Stable, non abusive, equal, mutual respect","Reliable, able to talk to each other openly, security in knowing they are there",Not panicking if you donâ€™t hear from them immediately. Able to tell them if youâ€™re hurt by something theyâ€™ve done. Share things openly with each other.,Feel sad or uncomfortable,43,25,38,50,50,50,34,34,29,43,50,37,37,28,33,50,29,47,39,4,7,4,7,4,7,3,7,5,7,4,3,5,5,3,7,1,6,NA,5,6,3,7,7,7,7,7,7,1,1,NA,1,2,4,3,4,4,British,2,Female,Heterosexual,4,,24,1,2,,NA,27,2,6,29,23:11:53,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Yes,403.697,3.75,1,1,1,1,7,1,1,1,2,1.7777777777777777,2,1.3333333333333333,2.6666666666666665
56e32190e414dc000c8b40ae,255,"One in which the people involved are happy, have emotional and physical needs met, and in which there is good communication.","You would have to look at how the relationship made the person feel over an extended period of time. Also, how it influences the rest of their lives.","Communicating often and in depth.
Feelings of love, respect, and compassion towards each other.
Being available for material and emotional support.
Sharing of similar desires and expectations for the relationship.","If a relationship is not making the people involved happier then they would be without it, it is a bad relationship. If it is detracting from some other important element of life it is bad.",45,31,50,47,42,47,-23,12,44,40,39,41,50,11,11,19,50,50,25,1,6,1,7,1,6,1,7,2,6,1,5,1,5,1,6,1,6,NA,1,6,2,7,5,5,7,6,1,1,1,NA,1,3,2,1,2,3,White,1,Male,Heterosexual,3,,74,1,2,,NA,27,2,6,28,23:09:40,United States,United States,Unemployed (and job seeking),English,United States,No,1239.685,2,3,3,1,2,1,1,1,1,3,1.7777777777777777,1.8333333333333333,1.6666666666666667,3.0555555555555554
56fa7c2e51c6bf000ccb2954,363,"mutual respect, deep affection and trust","co incident body language, laughter and physical signs of affection",same dreams and aspirations. commitment and trust. outwardly affectionate,silence. body language. coldness,41,44,50,43,30,23,50,11,11,38,46,9,10,45,35,-5,14,45,46,3,6,6,7,2,5,7,2,6,5,6,7,6,1,5,7,6,1,NA,2,3,7,7,6,7,6,6,1,2,6,NA,2,5,1,1,1,2,british causian,1,male,hetro,5,,120,1,1,,NA,26,2,6,52,23:31:34,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Yes,451.345,1.25,2,1,2,2,1,2,6,2,5,2.5555555555555554,1.6666666666666667,4.333333333333333,7.222222222222222
5705083cde5095000a18915a,231,"one where there is mutual and  equal respect and love, where each partner prioritises the needs of their partner alongside their own and both prioritise their  needs as a couple over other interests and goals. Where there is open communication, problems are shared and feelings expressed and the partners care for each  other both practically and emotionally, where there's loyalty, security and commitment.","For myself, if myself and my partner were happy with one another and communicating freely. For other people, you can't always know but you would usually see the signs of this - the couple seeming happy together, supporting each other etc","love, care. loyalty, commmitment, communication, listening, making the effort to learn and. grow in caring for each other. Making the effort to spend time together, stepping up when the other person needs extra support.","If either  partner seemed unhappy. if their interactions didnt seem respectful, if one seemed afraid of the other, if one or other are manipulative. If a lot of arguments were happening, if one was habitually lying to the other, if they complain about each other a lot.",42,40,46,29,37,39,37,28,29,33,25,39,41,28,43,26,27,34,43,1,7,6,5,1,2,4,5,4,5,1,5,4,2,1,7,3,5,NA,1,4,4,7,7,7,7,7,2,3,1,NA,2,4,3,4,4,3,White,2,female,bisexual,1,,NA,NA,NA,no,NA,27,2,6,43,23:05:01,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,No,1842.271,3.5,1,1,1,1,2,3,1,2,4,1.7777777777777777,1.5,2.3333333333333335,3.5
